B1,B2,B3,B4,B5,B6,I,T,VT,TIME,PB1,PB2,PB3,PB4,PB5,PB6,PVT
3.82,3.88,3.69,3.69,3.51,3.47,-68.62,21.4,22.07,2024-01-01 00:00:00,-0.2621284,-0.2662456,-0.25320780000000004,-0.25320780000000004,-0.2408562,-0.23811140000000003,-1.5144434000000002
3.81,3.87,3.62,3.84,3.47,3.66,-64.54,21.4,22.28,2024-01-01 00:00:02,-0.24589740000000004,-0.24976980000000004,-0.23363480000000003,-0.24783360000000001,-0.22395380000000004,-0.23621640000000002,-1.4379512
3.81,3.87,3.7,3.77,3.44,3.51,-64.75,21.4,22.1,2024-01-01 00:00:03,-0.2466975,-0.2505825,-0.239575,-0.24410749999999998,-0.22274000000000002,-0.2272725,-1.430975
3.82,3.88,3.71,3.74,3.42,3.63,-64.62,21.4,22.2,2024-01-01 00:00:05,-0.2468484,-0.2507256,-0.23974020000000001,-0.24167880000000003,-0.2210004,-0.23457060000000002,-1.4345640000000002
3.82,3.85,3.75,3.74,3.54,3.44,-64.75,21.4,22.14,2024-01-01 00:00:06,-0.247345,-0.2492875,-0.2428125,-0.24216500000000002,-0.229215,-0.22274000000000002,-1.433565
3.81,3.86,3.71,3.74,3.48,3.52,-64.79,21.4,22.11,2024-01-01 00:00:08,-0.2468499,-0.2500894,-0.24037090000000003,-0.24231460000000005,-0.22546920000000004,-0.22806080000000004,-1.4325069000000001
3.81,3.86,3.71,3.7,3.55,3.47,-64.67,21.4,22.1,2024-01-01 00:00:09,-0.24639270000000002,-0.24962620000000002,-0.23992570000000002,-0.23927900000000002,-0.2295785,-0.22440490000000002,-1.4292070000000001
3.84,3.9,3.62,3.8,3.5,3.53,-64.79,21.4,22.2,2024-01-01 00:00:11,-0.24879360000000003,-0.252681,-0.23453980000000005,-0.246202,-0.22676500000000002,-0.22870870000000001,-1.4383380000000001
3.81,3.91,3.66,3.76,3.5,3.56,-64.62,21.4,22.19,2024-01-01 00:00:12,-0.24620220000000004,-0.2526642,-0.23650920000000003,-0.2429712,-0.22617,-0.23004720000000003,-1.4339178000000001
3.81,3.85,3.65,3.78,3.5,3.55,-64.54,21.4,22.15,2024-01-01 00:00:14,-0.24589740000000004,-0.24847900000000003,-0.23557100000000003,-0.24396120000000002,-0.22589,-0.22911700000000002,-1.429561
3.81,3.9,3.68,3.68,3.6,3.41,-64.67,21.4,22.07,2024-01-01 00:00:15,-0.24639270000000002,-0.252213,-0.2379856,-0.2379856,-0.23281200000000002,-0.22052470000000002,-1.4272669
