B1,B2,B3,B4,B5,B6,I,T,VT,TIME,PB1,PB2,PB3,PB4,PB5,PB6,PVT
3.75,3.52,3.83,3.62,3.67,3.88,-27.46,699.0,22.27,2024-01-01 00:00:00,-0.10297500000000001,-0.0966592,-0.10517180000000001,-0.09940520000000001,-0.1007782,-0.1065448,-0.6115342
3.74,3.54,3.76,3.68,3.71,3.84,-27.46,21.0,22.27,2024-01-01 00:00:02,-0.10270040000000001,-0.0972084,-0.1032496,-0.1010528,-0.1018766,-0.1054464,-0.6115342
4.08,3.79,3.93,3.96,3.93,4.13,1365.29,21.0,23.82,2024-01-01 00:00:03,5.5703832,5.1744490999999995,5.3655897,5.406548399999999,5.3655897,5.6386477,32.5212078
3.76,3.61,3.76,3.69,3.69,3.89,58.71,21.0,22.4,2024-01-01 00:00:05,0.2207496,0.2119431,0.2207496,0.21663990000000002,0.21663990000000002,0.2283819,1.315104
3.77,3.59,3.8,3.66,3.72,3.83,86.5,21.0,22.37,2024-01-01 00:00:06,0.32610500000000003,0.31053499999999995,0.3287,0.31659000000000004,0.32178,0.331295,1.935005
3.78,3.6,3.78,3.71,3.73,3.87,125.17,21.0,22.46,2024-01-01 00:00:08,0.47314259999999997,0.450612,0.47314259999999997,0.4643807,0.46688409999999997,0.48440790000000006,2.8113182
3.77,3.61,3.79,3.67,3.68,3.97,145.75,21.0,22.5,2024-01-01 00:00:09,0.5494775,0.5261575000000001,0.5523925000000001,0.5349025000000001,0.5363600000000001,0.5786275000000001,3.279375
3.78,3.6,3.81,3.65,3.82,3.83,195.25,21.0,22.5,2024-01-01 00:00:11,0.738045,0.7029,0.7439025,0.7126625,0.745855,0.7478075,4.393125
3.79,3.67,3.75,3.71,3.75,3.83,237.83,21.0,22.5,2024-01-01 00:00:12,0.9013757,0.8728361,0.8918625000000001,0.8823493000000001,0.8918625000000001,0.9108889,5.3511750000000005
3.81,3.65,3.79,3.68,3.79,3.94,281.04,21.0,22.66,2024-01-01 00:00:14,1.0707624,1.0257960000000002,1.0651416000000002,1.0342272000000001,1.0651416000000002,1.1072976,6.368366400000001
3.84,3.64,3.81,3.73,3.74,3.94,337.92,21.0,22.69,2024-01-01 00:00:15,1.2976128,1.2300288000000001,1.2874752,1.2604416,1.2638208000000002,1.3314048,7.667404800000001
3.81,3.65,3.79,3.77,3.7,4.06,333.46,21.0,22.79,2024-01-01 00:00:17,1.2704826,1.217129,1.2638134,1.2571442,1.2338019999999998,1.3538476,7.599553399999999
3.81,3.64,3.83,3.68,3.81,3.9,325.12,21.0,22.66,2024-01-01 00:00:18,1.2387072000000001,1.1834368,1.2452096000000001,1.1964416000000002,1.2387072000000001,1.267968,7.3672192
3.8,3.67,3.77,3.73,3.72,3.95,323.33,21.0,22.65,2024-01-01 00:00:20,1.2286539999999997,1.1866210999999998,1.2189541,1.2060209,1.2027876000000002,1.2771534999999998,7.323424499999999
3.8,3.66,3.8,3.7,3.77,3.92,312.54,21.0,22.65,2024-01-01 00:00:21,1.1876520000000002,1.1438964,1.1876520000000002,1.156398,1.1782758000000002,1.2251568,7.079031
3.78,3.64,3.8,3.76,3.58,4.03,329.21,21.0,22.6,2024-01-01 00:00:23,1.2444137999999998,1.1983244,1.2509979999999998,1.2378295999999998,1.1785717999999998,1.3267163,7.4401459999999995
3.78,3.65,3.81,3.74,3.72,3.95,328.37,21.0,22.66,2024-01-01 00:00:24,1.2412386,1.1985505,1.2510897,1.2281038000000002,1.2215364000000002,1.2970615,7.4408642
3.8,3.65,3.82,3.74,3.76,3.91,317.96,21.0,22.67,2024-01-01 00:00:26,1.2082479999999998,1.1605539999999999,1.2146071999999999,1.1891704,1.1955295999999997,1.2432236,7.2081532
3.81,3.64,3.78,3.79,3.69,3.92,319.71,21.0,22.63,2024-01-01 00:00:27,1.2180951,1.1637444000000001,1.2085038,1.2117009,1.1797298999999999,1.2532632,7.235037299999999
3.79,3.66,3.8,3.75,3.75,3.92,327.62,21.0,22.67,2024-01-01 00:00:29,1.2416798000000002,1.1990892000000002,1.244956,1.228575,1.228575,1.2842703999999998,7.427145400000001
3.81,3.64,3.78,3.79,3.75,3.91,323.17,21.0,22.67,2024-01-01 00:00:30,1.2312777000000001,1.1763388,1.2215825999999999,1.2248143,1.2118875,1.2635947,7.326263900000001
3.82,3.66,3.78,3.8,3.74,3.95,320.96,21.0,22.74,2024-01-01 00:00:32,1.2260672,1.1747136,1.2132287999999998,1.2196479999999998,1.2003904,1.2677919999999998,7.2986303999999995
3.84,3.65,3.82,3.73,3.68,3.98,302.46,21.0,22.7,2024-01-01 00:00:33,1.1614463999999998,1.1039789999999998,1.1553972,1.1281758,1.1130528,1.2037908,6.865842
3.85,3.65,3.81,3.74,3.75,4.01,366.25,21.0,22.81,2024-01-01 00:00:35,1.4100625,1.3368125,1.3954125,1.3697750000000002,1.3734375,1.4686625,8.354162500000001
3.88,3.66,3.81,3.74,3.8,3.96,422.25,21.0,22.86,2024-01-01 00:00:36,1.6383299999999998,1.5454350000000001,1.6087725,1.579215,1.60455,1.67211,9.652635
3.88,3.66,3.82,3.79,3.75,3.93,420.87,21.0,22.82,2024-01-01 00:00:38,1.6329756,1.5403841999999999,1.6077233999999998,1.5950973000000002,1.5782625000000001,1.6540191,9.6042534
3.89,3.69,3.76,3.79,3.81,3.93,416.29,21.0,22.87,2024-01-01 00:00:39,1.6193681000000002,1.5361101000000001,1.5652503999999998,1.5777391,1.5860649,1.6360197,9.520552300000002
3.89,3.7,3.78,3.77,3.76,3.89,411.5,21.0,22.81,2024-01-01 00:00:41,1.600735,1.5225500000000003,1.5554700000000001,1.551355,1.54724,1.600735,9.386314999999998
3.86,3.67,3.82,3.78,3.77,3.97,412.62,21.0,22.87,2024-01-01 00:00:42,1.5927132,1.5143153999999999,1.5762084,1.5597035999999997,1.5555774000000002,1.6381014,9.436619400000001
3.86,3.68,3.8,3.81,3.75,3.94,413.5,21.0,22.84,2024-01-01 00:00:44,1.59611,1.5216800000000001,1.5713,1.575435,1.550625,1.6291900000000001,9.44434
3.85,3.7,3.8,3.79,3.8,3.82,398.5,21.0,22.75,2024-01-01 00:00:45,1.5342250000000002,1.47445,1.5143,1.510315,1.5143,1.52227,9.065875
3.87,3.73,3.76,3.81,3.77,3.93,460.79,21.0,22.87,2024-01-01 00:00:47,1.7832573000000003,1.7187467,1.7325704,1.7556099,1.7371783,1.8109047,10.538267300000001
3.87,3.66,3.84,3.81,3.75,3.87,454.12,21.0,22.8,2024-01-01 00:00:48,1.7574444,1.6620792000000002,1.7438208,1.7301972,1.70295,1.7574444,10.353936
3.86,3.67,3.83,3.8,3.78,3.96,456.87,21.0,22.91,2024-01-01 00:00:50,1.7635182,1.6767129,1.7498121000000002,1.736106,1.7269686,1.8092052,10.4668917
3.88,3.71,3.8,3.81,3.78,3.91,456.62,21.0,22.89,2024-01-01 00:00:51,1.7716856,1.6940601999999998,1.735156,1.7397221999999999,1.7260236,1.7853842000000002,10.4520318
3.87,3.72,3.8,3.67,3.91,3.94,455.96,21.0,22.92,2024-01-01 00:00:53,1.7645652,1.6961712,1.732648,1.6733732,1.7828036,1.7964824,10.4506032
3.88,3.71,3.81,3.74,3.84,3.95,449.17,21.0,22.94,2024-01-01 00:00:54,1.7427796,1.6664207000000002,1.7113377,1.6798958000000002,1.7248128,1.7742215000000001,10.303959800000001
3.89,3.65,3.88,3.76,3.82,4.01,448.04,21.0,23.0,2024-01-01 00:00:56,1.7428756,1.635346,1.7383952,1.6846304,1.7115128,1.7966404,10.30492
3.89,3.65,3.89,3.74,3.89,3.92,453.75,21.0,22.97,2024-01-01 00:00:57,1.7650875000000001,1.6561875,1.7650875000000001,1.697025,1.7650875000000001,1.7787,10.422637499999999
3.89,3.73,3.8,3.74,3.77,4.04,449.33,21.0,22.98,2024-01-01 00:00:59,1.7478937,1.6760009,1.707454,1.6804942,1.6939741,1.8152932,10.3256034
3.88,3.73,3.74,3.85,3.79,3.9,441.37,21.0,22.88,2024-01-01 00:01:00,1.7125156,1.6463101,1.6507238000000002,1.6992745,1.6727923,1.721343,10.0985456
3.87,3.68,3.85,3.75,3.75,4.04,442.83,21.1,22.95,2024-01-01 00:01:02,1.7137521,1.6296144,1.7048955000000001,1.6606125,1.6606125,1.7890331999999998,10.162948499999999
3.85,3.7,3.79,3.84,3.79,3.87,441.92,21.1,22.85,2024-01-01 00:01:03,1.701392,1.6351040000000001,1.6748768,1.6969728,1.6748768,1.7102304000000002,10.097872
