VF,IF,VB,IB,VC,IC,TIME,PVF,PVB,PVC
24.17,3.6,24.2,347.6,24.12,355.6,2024-01-01 00:00:00,0.08701200000000002,8.41192,8.577072
24.18,3.6,24.22,348.8,24.14,356.4,2024-01-01 00:00:00,0.087048,8.447936,8.603496
24.17,3.6,24.2,348.0,24.12,355.6,2024-01-01 00:00:01,0.08701200000000002,8.4216,8.577072
24.18,3.2,24.22,348.8,24.14,356.4,2024-01-01 00:00:02,0.077376,8.447936,8.603496
24.18,3.6,24.22,348.8,24.14,356.4,2024-01-01 00:00:02,0.087048,8.447936,8.603496
24.18,3.6,24.22,348.8,24.14,356.4,2024-01-01 00:00:03,0.087048,8.447936,8.603496
24.17,3.6,24.2,347.6,24.12,355.6,2024-01-01 00:00:03,0.08701200000000002,8.41192,8.577072
24.18,3.6,24.22,348.8,24.14,356.4,2024-01-01 00:00:04,0.087048,8.447936,8.603496
24.17,3.2,24.2,347.6,24.12,355.6,2024-01-01 00:00:04,0.07734400000000001,8.41192,8.577072
24.18,3.6,24.22,348.8,24.14,356.4,2024-01-01 00:00:05,0.087048,8.447936,8.603496
24.17,3.6,24.2,347.6,24.12,355.2,2024-01-01 00:00:06,0.08701200000000002,8.41192,8.567424
24.18,3.6,24.22,348.4,24.14,356.4,2024-01-01 00:00:06,0.087048,8.438248,8.603496
24.18,3.6,24.22,348.4,24.14,356.4,2024-01-01 00:00:07,0.087048,8.438248,8.603496
24.18,3.6,24.22,348.4,24.14,356.4,2024-01-01 00:00:07,0.087048,8.438248,8.603496
24.18,3.6,24.22,348.4,24.14,356.0,2024-01-01 00:00:08,0.087048,8.438248,8.59384
24.18,3.6,24.22,348.4,24.14,356.0,2024-01-01 00:00:08,0.087048,8.438248,8.59384
24.18,3.6,24.22,348.4,24.14,356.0,2024-01-01 00:00:09,0.087048,8.438248,8.59384
24.18,-0.8,24.21,352.4,24.13,356.0,2024-01-01 00:00:09,-0.019344,8.531604,8.590279999999998
24.16,-0.8,24.19,351.6,24.11,354.8,2024-01-01 00:00:10,-0.019328,8.505204,8.554228
24.18,-0.8,24.21,352.4,24.13,356.0,2024-01-01 00:00:11,-0.019344,8.531604,8.590279999999998
24.18,-0.8,24.21,352.4,24.13,356.0,2024-01-01 00:00:11,-0.019344,8.531604,8.590279999999998
24.16,-0.8,24.21,352.4,24.13,356.0,2024-01-01 00:00:12,-0.019328,8.531604,8.590279999999998
24.18,-0.8,24.21,352.4,24.13,356.0,2024-01-01 00:00:12,-0.019344,8.531604,8.590279999999998
24.16,-0.8,24.19,351.2,24.11,354.8,2024-01-01 00:00:13,-0.019328,8.495528,8.554228
24.18,-0.8,24.21,352.4,24.13,356.0,2024-01-01 00:00:13,-0.019344,8.531604,8.590279999999998
24.18,-0.8,24.21,352.4,24.13,355.6,2024-01-01 00:00:14,-0.019344,8.531604,8.580628
24.18,-0.8,24.21,352.4,24.13,355.6,2024-01-01 00:00:14,-0.019344,8.531604,8.580628
24.18,-0.8,24.21,352.4,24.13,355.6,2024-01-01 00:00:15,-0.019344,8.531604,8.580628
24.16,-0.8,24.19,351.2,24.11,354.8,2024-01-01 00:00:16,-0.019328,8.495528,8.554228
24.18,-0.8,24.21,352.0,24.13,355.6,2024-01-01 00:00:16,-0.019344,8.52192,8.580628
24.17,-1.2,24.2,351.6,24.12,355.2,2024-01-01 00:00:17,-0.029004000000000002,8.50872,8.567424
24.18,-0.8,24.21,352.0,24.13,355.6,2024-01-01 00:00:17,-0.019344,8.52192,8.580628
24.18,-0.8,24.21,352.0,24.13,355.6,2024-01-01 00:00:18,-0.019344,8.52192,8.580628
24.24,66.4,24.26,288.0,24.19,359.2,2024-01-01 00:00:18,1.609536,6.98688,8.689048000000001
24.24,54.4,24.27,300.4,24.19,359.2,2024-01-01 00:00:19,1.318656,7.2907079999999995,8.689048000000001
24.24,54.0,24.27,300.4,24.19,359.2,2024-01-01 00:00:19,1.30896,7.2907079999999995,8.689048000000001
24.25,55.6,24.27,300.4,24.19,359.2,2024-01-01 00:00:20,1.3483,7.2907079999999995,8.689048000000001
24.24,54.0,24.27,300.4,24.19,359.2,2024-01-01 00:00:21,1.30896,7.2907079999999995,8.689048000000001
24.24,66.0,24.26,288.0,24.19,359.2,2024-01-01 00:00:21,1.59984,6.98688,8.689048000000001
24.24,54.0,24.27,300.4,24.19,359.2,2024-01-01 00:00:22,1.30896,7.2907079999999995,8.689048000000001
24.24,54.4,24.26,300.4,24.18,358.4,2024-01-01 00:00:22,1.318656,7.287704,8.666112
24.25,56.0,24.27,298.4,24.2,359.6,2024-01-01 00:00:23,1.358,7.2421679999999995,8.70232
24.25,54.8,24.27,300.0,24.19,359.6,2024-01-01 00:00:23,1.3289,7.281,8.698724
24.24,66.4,24.26,287.6,24.19,359.2,2024-01-01 00:00:24,1.609536,6.977176000000001,8.689048000000001
24.25,55.6,24.27,299.2,24.19,359.6,2024-01-01 00:00:24,1.3483,7.261584,8.698724
24.24,56.4,24.26,296.0,24.2,358.8,2024-01-01 00:00:25,1.367136,7.18096,8.68296
24.25,57.2,24.27,298.0,24.2,359.6,2024-01-01 00:00:26,1.3871000000000002,7.23246,8.70232
24.25,55.6,24.27,298.8,24.2,359.2,2024-01-01 00:00:26,1.3483,7.251876,8.692639999999999
24.24,66.8,24.26,287.2,24.2,359.2,2024-01-01 00:00:27,1.6192319999999998,6.967472,8.692639999999999
24.25,61.6,24.27,293.2,24.19,359.2,2024-01-01 00:00:27,1.4938,7.115964,8.689048000000001
24.25,60.4,24.27,293.2,24.2,359.6,2024-01-01 00:00:28,1.4647000000000001,7.115964,8.70232
24.25,55.2,24.27,299.2,24.2,359.6,2024-01-01 00:00:28,1.3386000000000002,7.261584,8.70232
24.25,56.4,24.27,298.8,24.2,359.6,2024-01-01 00:00:29,1.3677000000000001,7.251876,8.70232
24.25,57.2,24.27,298.0,24.2,359.6,2024-01-01 00:00:30,1.3871000000000002,7.23246,8.70232
24.24,66.0,24.26,288.0,24.19,359.2,2024-01-01 00:00:30,1.59984,6.98688,8.689048000000001
24.25,56.4,24.27,298.4,24.2,359.6,2024-01-01 00:00:31,1.3677000000000001,7.2421679999999995,8.70232
24.25,56.0,24.27,298.4,24.2,359.6,2024-01-01 00:00:31,1.358,7.2421679999999995,8.70232
24.24,65.6,24.26,288.4,24.19,359.2,2024-01-01 00:00:32,1.5901439999999998,6.9965839999999995,8.689048000000001
24.25,56.4,24.27,298.8,24.19,359.2,2024-01-01 00:00:32,1.3677000000000001,7.251876,8.689048000000001
24.25,57.6,24.27,297.2,24.2,359.6,2024-01-01 00:00:33,1.3968,7.213044,8.70232
24.25,56.4,24.27,298.0,24.2,359.6,2024-01-01 00:00:34,1.3677000000000001,7.23246,8.70232
24.25,56.0,24.27,298.4,24.2,359.2,2024-01-01 00:00:34,1.358,7.2421679999999995,8.692639999999999
24.24,67.6,24.26,286.8,24.19,359.2,2024-01-01 00:00:35,1.6386239999999999,6.957768000000001,8.689048000000001
24.25,56.0,24.27,298.8,24.19,359.2,2024-01-01 00:00:35,1.358,7.251876,8.689048000000001
24.24,63.6,24.26,288.8,24.19,359.2,2024-01-01 00:00:36,1.541664,7.0062880000000005,8.689048000000001
24.25,56.4,24.27,298.0,24.19,359.2,2024-01-01 00:00:36,1.3677000000000001,7.23246,8.689048000000001
24.24,61.2,24.27,287.6,24.2,360.0,2024-01-01 00:00:37,1.4834880000000001,6.980052000000001,8.712
24.24,55.6,24.27,298.8,24.19,359.2,2024-01-01 00:00:38,1.3477439999999998,7.251876,8.689048000000001
24.25,57.2,24.27,297.6,24.2,359.2,2024-01-01 00:00:38,1.3871000000000002,7.222752000000001,8.692639999999999
24.25,56.4,24.27,298.0,24.2,359.2,2024-01-01 00:00:39,1.3677000000000001,7.23246,8.692639999999999
24.24,65.6,24.26,290.0,24.19,359.2,2024-01-01 00:00:39,1.5901439999999998,7.035400000000001,8.689048000000001
24.25,56.0,24.27,298.4,24.2,359.2,2024-01-01 00:00:40,1.358,7.2421679999999995,8.692639999999999
24.24,68.4,24.26,286.0,24.19,359.2,2024-01-01 00:00:40,1.6580160000000002,6.93836,8.689048000000001
24.25,56.8,24.27,297.2,24.19,359.2,2024-01-01 00:00:41,1.3774,7.213044,8.689048000000001
24.23,56.4,24.26,295.2,24.19,358.8,2024-01-01 00:00:41,1.366572,7.161552,8.679372
24.25,58.0,24.27,296.8,24.2,359.2,2024-01-01 00:00:42,1.4065,7.203336,8.692639999999999
24.25,56.8,24.27,298.0,24.19,359.2,2024-01-01 00:00:43,1.3774,7.23246,8.689048000000001
24.24,68.0,24.26,286.0,24.21,359.2,2024-01-01 00:00:43,1.64832,6.93836,8.696232
